solved with: BinPacking Formulation
Problem not solved.

#####################################################

solved with: ThreeIndex Formulation
Problem not solved.

#####################################################

solved with: Constructive Heuristic (2Cap)
time limit: 10 s
time to solve: 0,29 s
objective value: 2445.0

stacks (top to bottom):
stack   0:    2 3 
stack   1:    4 5 
stack   2:    6 7 
stack   3:    0 1 
stack   4:    9 8 
stack   5:    10 11 
stack   6:    12 13 
stack   7:    14 15 
stack   8:    18 19 
stack   9:    24 274 
stack  10:    17 16 
stack  11:    22 21 
stack  12:    26 294 
stack  13:    25 23 
stack  14:    28 29 
stack  15:    325 27 
stack  16:    30 31 
stack  17:    35 34 
stack  18:    32 33 
stack  19:    42 39 
stack  20:    36 38 
stack  21:    41 276 
stack  22:    43 40 
stack  23:    411 47 
stack  24:    44 45 
stack  25:    46 48 
stack  26:    53 51 
stack  27:    50 49 
stack  28:    56 55 
stack  29:    54 52 
stack  30:    57 58 
stack  31:    64 63 
stack  32:    61 62 
stack  33:    59 60 
stack  34:    67 68 
stack  35:    69 70 
stack  36:    80 81 
stack  37:    66 65 
stack  38:    76 77 
stack  39:    83 82 
stack  40:    78 79 
stack  41:    84 85 
stack  42:    71 72 
stack  43:    86 99 
stack  44:    74 73 
stack  45:    96 93 
stack  46:    87 372 
stack  47:    94 92 
stack  48:    88 89 
stack  49:    91 90 
stack  50:    97 95 
stack  51:    98 261 
stack  52:    108 109 
stack  53:    100 101 
stack  54:    106 107 
stack  55:    103 102 
stack  56:    104 105 
stack  57:    110 111 
stack  58:    114 115 
stack  59:    116 117 
stack  60:    112 113 
stack  61:    120 121 
stack  62:    125 124 
stack  63:    122 123 
stack  64:    118 119 
stack  65:    127 126 
stack  66:    128 220 
stack  67:    132 131 
stack  68:    130 129 
stack  69:    138 137 
stack  70:    133 134 
stack  71:    142 403 
stack  72:    136 135 
stack  73:    149 148 
stack  74:    139 140 
stack  75:    189 141 
stack  76:    143 197 
stack  77:    147 146 
stack  78:    144 145 
stack  79:    152 153 
stack  80:    150 151 
stack  81:    155 154 
stack  82:    157 156 
stack  83:    158 159 
stack  84:    161 160 
stack  85:    162 163 
stack  86:    164 165 
stack  87:    170 168 
stack  88:    171 169 
stack  89:    166 167 
stack  90:    172 173 
stack  91:    174 175 
stack  92:    176 177 
stack  93:    178 179 
stack  94:    183 182 
stack  95:    188 184 
stack  96:    181 180 
stack  97:    190 187 
stack  98:    303 186 
stack  99:    191 192 
stack 100:    194 193 
stack 101:    195 196 
stack 102:    198 199 
stack 103:    203 207 
stack 104:    206 210 
stack 105:    200 201 
stack 106:    202 205 
stack 107:    213 214 
stack 108:    216 215 
stack 109:    209 212 
stack 110:    204 208 
stack 111:    219 217 
